event,team_h,team_a,team_h_difficulty,team_a_difficulty,finished
1,2,1,3,3,True
1,2,4,3,3,True
1,2,12,3,3,True
1,2,15,3,3,True
1,4,4,3,3,True
1,6,10,3,3,True
1,6,19,3,3,True
1,7,1,3,3,True
1,7,8,3,3,True
1,7,13,3,3,True
1,7,19,3,3,True
1,8,3,3,3,True
1,8,13,3,3,True
1,8,15,3,3,True
1,9,8,3,3,True
1,9,13,3,3,True
1,11,9,3,3,True
1,11,10,3,3,True
1,12,4,3,3,True
1,12,5,3,3,True
1,12,13,3,3,True
1,14,1,3,3,True
1,14,5,3,3,True
1,14,16,3,3,True
1,15,15,3,3,True
1,16,5,3,3,True
1,16,15,3,3,True
1,17,3,3,3,True
1,17,19,3,3,True
1,18,3,3,3,True
1,20,10,3,3,True
1,20,13,3,3,True
1,20,16,3,3,True
2,1,11,3,3,True
2,1,16,3,3,True
2,3,7,3,3,True
2,3,17,3,3,True
2,4,8,3,3,True
2,4,20,3,3,True
2,5,2,3,3,True
2,5,8,3,3,True
2,5,11,3,3,True
2,8,2,3,3,True
2,8,16,3,3,True
2,9,6,3,3,True
2,9,11,3,3,True
2,10,2,3,3,True
2,10,7,3,3,True
2,10,14,3,3,True
2,10,18,3,3,True
2,12,12,3,3,True
2,13,8,3,3,True
2,13,16,3,3,True
2,13,18,3,3,True
2,13,20,3,3,True
2,15,2,3,3,True
2,15,12,3,3,True
2,16,11,3,3,True
2,16,18,3,3,True
2,19,7,3,3,True
2,19,9,3,3,True
2,19,14,3,3,True
3,2,1,3,3,True
3,2,3,3,3,True
3,2,8,3,3,True
3,2,13,3,3,True
3,2,19,3,3,True
3,6,10,3,3,True
3,6,13,3,3,True
3,6,16,3,3,True
3,7,3,3,3,True
3,7,5,3,3,True
3,7,10,3,3,True
3,7,19,3,3,True
3,8,4,3,3,True
3,8,8,3,3,True
3,8,9,3,3,True
3,9,10,3,3,True
3,11,12,3,3,True
3,11,13,3,3,True
3,11,15,3,3,True
3,12,1,3,3,True
3,12,5,3,3,True
3,12,16,3,3,True
3,14,3,3,3,True
3,16,3,3,3,True
3,16,19,3,3,True
3,17,5,3,3,True
3,17,15,3,3,True
3,18,4,3,3,True
3,18,13,3,3,True
3,20,9,3,3,True
4,1,2,3,3,True
4,1,16,3,3,True
4,3,12,3,3,True
4,3,18,3,3,True
4,4,6,3,3,True
4,5,7,3,3,True
4,5,9,3,3,True
4,5,11,3,3,True
4,6,18,3,3,True
4,8,17,3,3,True
4,9,2,3,3,True
4,9,8,3,3,True
4,10,11,3,3,True
4,10,14,3,3,True
4,13,6,3,3,True
